Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
1.1 Говядина;;;;;;;;;;;;;;
**Говядина вырезка  зачищ. в/у Аргентина (кг);;;;;;;;;;;;2 061,60;;
**Говядина вырезка Бразилия (кг);;;;;;;;;;;;2 076,92;;
**Говядина жилован (тримминг) 80/20 б/к Мясница (кг);;;;;;;;;;;;414,00;;
**Говядина щечки с/м BRAVO MEAT (ИП Родченкова);;;;;;;;;;;;944,40;;
**Говядина щечки с/м в/у (ТМК. Россия).;;;;;;;;;;;;793,87;;
Говядина лопаточный отруб б/к заморож (СТК Мясница) (кг).;;;;;;;;;;;;603,60;;
Говядина Оковалок б/к Россия (сырье Бразилия).;;;;;;;;;;;;834,92;;
Говядина печень Аргентина (кг);;;;;;;;;;;;306,00;;
Говядина сердце Бразилия (кг);;;;;;;;;;;;378,00;;
Говядина спиной отруб б/к заморож (СТК Мясница) (кг).;;;;;;;;;;;;684,00;;
Говядина тазоб .часть оковалок  зам.б/к в/у (Александров,.Белоруссия)(кг).;;;;;;;;;;;;953,89;;
Говядина тазоб .часть оковалок  зам.б/к в/у (Вахавяк.Белоруссия)(кг).;;;;;;;;;;;;1 047,60;;
Говядина тазоб. Оковалок б/к заморож (СПК Мясница) (кг).;;;;;;;;;;;;642,00;;
Говядина тазобедренный отруб б/к заморож (СПК Мясница) (кг).;;;;;;;;;;;;642,00;;
Говядина язык Бразилия (кг);;;;;;;;;;;;1 080,00;;
1.2 Свинина;;;;;;;;;;;;;;
**Окорок свиной б/к замор.Сибагро (6 мес.);;;;;;;;;;;;372,00;;
"Бекон в/к ""Венгерский"" 500гр/10шт (шт)";;;;;;;;;;;;305,64;;
"Бекон в/к ""Классический"" 500гр/30шт (МК ЭКО) (шт)";;;;;;;;;;;;277,80;;
Бекон к/в 500г/20шт Дымов (шт);;;;;;;;;;;;375,46;;
Корейка свиная б/к (карбонат) Сибагро.(кг);;;;;;;;;;;;370,90;;
Корейка свиная б/к (карбонат), Мираторг(кг);;;;;;;;;;;;369,60;;
Лопатка свиная б/к Мираторг (кг);;;;;;;;;;;;348,00;;
Лопатка свиная б/к Сибагро. (кг);;;;;;;;;;;;343,75;;
Окорок свиной б/к Сибагро.(кг);;;;;;;;;;;;328,15;;
Окорок свиной б/к СК Короча (Мираторг) (кг);;;;;;;;;;;;342,00;;
Свинина вырезка б/к заморож. Сибагро.(кг);;;;;;;;;;;;473,35;;
Свинина вырезка Мираторг (кг);;;;;;;;;;;;516,00;;
Свинина шея б/к Сибагро.(кг);;;;;;;;;;;;529,28;;
Свинина шея Мираторг Россия (кг);;;;;;;;;;;;504,00;;
1.3 Птица;;;;;;;;;;;;;;
**Вырезка (филе) из грудки утенка замор. в/у (вес) Китай (кг);;;;;;;;;;;;540,92;;
**Вырезка из грудки утенка (филе грудки) Россия (кг);;;;;;;;;;;;856,80;;
